JEDN.EWID.;OBRĘB;DZIAŁKA;ARKUSZ;POW.DZ.[ha];NUMER JRG;CHAR.WŁADANIA;UDZIAŁ;GRUPA;UŻYTKI - SYMBOL;UŻYTKI - POW.[ha];DOKUMENT - SYGN.;DOKUMENT - RODZAJ;AKTUALIZACJA UW.;Wartość zł;Wartość drogi;Wartość rowy;Wartość B-RV;Wartość B-RVI;Wartość N;Wartość RIVa;Wartość RIVb;Wartość RV;Wartość RVI;Wartość B-RIVa;Wartość B-Ivb;Wartość Wp;Wartość B;Wartość ŁIII;Wartość ŁIV;Wartość ŁV;Wartość ŁVI;Wartość PsIII;Wartość PsIV;Wartość PsV;Wartość PsVI;Wartość LsIII;Wartość LsIV;WartośćLsV;WarośćLsVI;Wartość Ba;Wartość Bp;Wartość Bi;Wartość Ws;wartość K;Wartość Lz-RIV;Wartość Lz-RV;Wartość Lz-RVI;Wartość S-RV;Wartość B-ŁIV;Wartość S-ŁIV;Wartość S-ŁV;Wartość Lz-ŁIV;Wartość B-PsVI;Wartość S-PsV;Wartość bz;Wartość Wp;Wartość Wsr;pow. zabudowy;aktualne wyk;plan;przeznaczenie w planie lub studium;uwagi;wartość szacunkowa została określona przez: ……………..skład komisji
POKÓJ;DĄBRÓWKA DOLNA   0391;1;1;0,18;214;właściciel;;4,1;dr;0,18;G.IV-7227/530/92;DECYZJA WOJEWODY;;3600;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;100/1;1;0,0901;234;właściciel;;4,1;dr;0,0901;42332;Księga wieczysta;;1802;1802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;114;1;0,11;214;właściciel;;4,1;dr;0,11;G.IV-7227/530/92;DECYZJA WOJEWODY;;2200;2200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;118;1;0,06;214;właściciel;;4,1;dr;0,06;G.IV-7227/530/92;DECYZJA WOJEWODY;;1200;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;126;1;0,25;214;właściciel;;4,1;dr;0,25;G.IV-7227/530/92;DECYZJA WOJEWODY;;5000;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;134;1;0,06;214;właściciel;;4,1;dr;0,06;G.IV-7227/530/92;DECYZJA WOJEWODY;;1200;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;155;1;0,01;214;właściciel;;4,1;dr;0,01;G.IV-7227/530/92;DECYZJA WOJEWODY;;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;158;1;0,36;214;właściciel;;4,1;dr;0,36;G.IV-7227/530/92;DECYZJA WOJEWODY;;7200;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;160;1;0,01;214;właściciel;;4,1;dr;0,01;G.IV-7227/530/92;DECYZJA WOJEWODY;;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
POKÓJ;DĄBRÓWKA DOLNA   0391;170;1;0,31;214;właściciel;;4,1;dr;0,31;G.IV-7227/530/92;DECYZJA WOJEWODY;;6200;6200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;droga;droga;droga;;Joanna Ptaszek, Beata Pyrek, Tomasz Głuszkiewicz
